ticker,year,sigma_E,method,days_used,flag,size_bucket
COFS,2020,0.23780468310986325,imputed_peer,0,no_daily_data,small
COFS,2021,0.5958900402320815,daily_252,228,,small
COFS,2022,0.3098215851604979,daily_252,252,,small
COFS,2023,0.2763545583786452,daily_252,251,,small
COLB,2016,0.24623180420052973,daily_252,252,,small
COLB,2017,0.2683896412498471,daily_252,252,,small
COLB,2018,0.23439712245647842,daily_252,251,,small
COLB,2019,0.24703148630017435,daily_252,251,,small
COLB,2020,0.24008343973829355,daily_252,252,,small
COLB,2021,0.6608694476412348,daily_252,253,,small
COLB,2022,0.36169555196811615,daily_252,252,,small
COLB,2023,0.32401792932696394,daily_252,251,,small
CPF,2016,0.28213937961634583,daily_252,252,,
CPF,2017,0.2568555880621403,daily_252,252,,small
CPF,2018,0.26230558225637257,daily_252,251,,small
CPF,2019,0.23151234550348748,daily_252,251,,small
CPF,2020,0.20124078955602798,daily_252,252,,small
CPF,2021,0.6808666796967169,daily_252,253,,small
CPF,2022,0.32269039994250437,daily_252,252,,small
CPF,2023,0.30325624887220154,daily_252,251,,small
CTBI,2016,0.19028896549490437,daily_252,252,,
CTBI,2017,0.22142539450632126,daily_252,252,,small
CTBI,2018,0.24377318920320423,daily_252,251,,small
CTBI,2019,0.2245673894940349,daily_252,251,,small
CTBI,2020,0.21167818196283725,daily_252,252,,
CTBI,2021,0.5508050438539436,daily_252,253,,
CTBI,2022,0.23861216595864085,daily_252,252,,
CTBI,2023,0.19675168753412778,daily_252,251,,
CUBI,2016,0.3254812501516119,daily_252,252,,
CUBI,2017,0.33114809061812484,daily_252,252,,small
CUBI,2018,0.25314602927559593,daily_252,251,,small
CUBI,2019,0.3084049676555307,daily_252,251,,small
CUBI,2020,0.30166505612162087,daily_252,252,,small
CUBI,2021,0.8252044411447718,daily_252,253,,small
CUBI,2022,0.45140022497865223,daily_252,252,,small
CUBI,2023,0.5140850275012191,daily_252,251,,
CVBF,2016,0.23991260411282378,daily_252,252,,small
CVBF,2017,0.273410180993073,daily_252,252,,small
CVBF,2018,0.24397590180476303,daily_252,251,,small
CVBF,2019,0.220187179545531,daily_252,251,,small
CVBF,2020,0.21000582771790224,daily_252,252,,small
CVBF,2021,0.5200585002420499,daily_252,253,,small
CVBF,2022,0.27616541305892467,daily_252,252,,small
CVBF,2023,0.21857152471037875,daily_252,251,,small
CWBC,2016,,imputed_peer,0,no_daily_data,
CWBC,2017,,imputed_peer,0,no_daily_data,
CWBC,2018,0.245226588249759,imputed_peer,0,no_daily_data,small
