Index,Date,Instrument,Total Return
405,2020,CATY.OQ,17.51118139
406,2021,CATY.OQ,-11.5164441
407,2022,CATY.OQ,37.78091138
408,2023,CATY.OQ,-2.093408201
409,2024,CATY.OQ,13.45528473
410,2013,CBAN.N,61.50442478
411,2014,CBAN.N,67.12328767
412,2015,CBAN.N,29.18032787
413,2016,CBAN.N,23.22335025
414,2017,CBAN.N,35.9423275
415,2018,CBAN.N,10.22727273
416,2019,CBAN.N,1.215854106
417,2020,CBAN.N,15.11671021
418,2021,CBAN.N,-8.290639296
419,2022,CBAN.N,19.45839078
420,2023,CBAN.N,-23.52255346
421,2024,CBAN.N,9.205790854
422,2013,CBFV.O,-7.424362009
423,2014,CBFV.O,3.947368421
424,2015,CBFV.O,2.925858051
425,2016,CBFV.O,19.97471278
426,2017,CBFV.O,17.24340482
427,2018,CBFV.O,19.79031008
428,2019,CBFV.O,-14.95039554
429,2020,CBFV.O,26.27562997
430,2021,CBFV.O,-30.7743389
431,2022,CBFV.O,25.68884158
432,2023,CBFV.O,-7.196120943
433,2024,CBFV.O,16.45327091
434,2013,CBNK.OQ,NaN
435,2014,CBNK.OQ,NaN
436,2015,CBNK.OQ,NaN
437,2016,CBNK.OQ,NaN
438,2017,CBNK.OQ,NaN
439,2018,CBNK.OQ,NaN
440,2019,CBNK.OQ,-10.859375
441,2020,CBNK.OQ,30.4995618
442,2021,CBNK.OQ,-6.447280056
443,2022,CBNK.OQ,88.83505741
444,2023,CBNK.OQ,-9.315014742
445,2024,CBNK.OQ,4.287088602
446,2013,CBSH.OQ,2.894368376
447,2014,CBSH.OQ,37.37195141
448,2015,CBSH.OQ,3.736777647
449,2016,CBSH.OQ,4.795830449
450,2017,CBSH.OQ,45.29719284
451,2018,CBSH.OQ,3.063597427
452,2019,CBSH.OQ,7.52485365
453,2020,CBSH.OQ,28.73310754
454,2021,CBSH.OQ,3.30716637
455,2022,CBSH.OQ,11.43632746
456,2023,CBSH.OQ,5.563475136
457,2024,CBSH.OQ,-15.93864412
458,2013,CBU.N,2.296057795
459,2014,CBU.N,50.09681886
460,2015,CBU.N,-0.838534837
461,2016,CBU.N,8.256506095
462,2017,CBU.N,59.03897535
463,2018,CBU.N,-10.88517852
464,2019,CBU.N,11.09086902
465,2020,CBU.N,24.65415698
466,2021,CBU.N,-9.668445146
467,2022,CBU.N,22.27208853
468,2023,CBU.N,-13.15648749
469,2024,CBU.N,-14.22829725
470,2013,CCB.OQ,NaN
471,2014,CCB.OQ,NaN
472,2015,CCB.OQ,NaN
473,2016,CCB.OQ,NaN
474,2017,CCB.OQ,NaN
475,2018,CCB.OQ,NaN
476,2019,CCB.OQ,-7.134146343
477,2020,CCB.OQ,8.141825336
478,2021,CCB.OQ,27.50455374
479,2022,CCB.OQ,141.047619
480,2023,CCB.OQ,-6.124061637
481,2024,CCB.OQ,-6.544612789
