symbol,year,market_cap
FRBKQ,2016,587931850.0
FRBKQ,2017,594972950.0
FRBKQ,2018,420353670.0
FRBKQ,2019,294317980.0
FRBKQ,2020,167773800.0
FRBKQ,2021,219268529.16000003
FRBKQ,2022,126721000.0
FRBKQ,2023,1916012.76
FRCB,2016,17158219397.12
FRCB,2017,16134014853.12
FRCB,2018,16182431795.2
FRCB,2019,21871422489.6
FRCB,2020,25565820000.0
FRCB,2021,37063062366.01
FRCB,2022,22336290331.08
FRCB,2023,7646500.0
FRME,2016,2195258550.0
FRME,2017,2452392420.0
FRME,2018,1998180890.0
FRME,2019,2424988130.0
FRME,2020,2181264870.0
FRME,2021,2237362116.79
FRME,2022,2432502667.13
FRME,2023,2203446443.76
FRST,2016,403968918.0
FRST,2017,396304881.0
FRST,2018,326834094.0
FRST,2019,404216145.00000006
FRST,2020,299391897.0
FRST,2021,369602269.76
FRST,2022,292459149.45
FRST,2023,312615557.52
FSBC,2016,
FSBC,2017,
FSBC,2018,
FSBC,2019,
FSBC,2020,
FSBC,2021,640830000.0
FSBC,2022,581873640.0
FSBC,2023,559230980.0
FSBW,2016,137889351.72441
FSBW,2017,209307985.43733
FSBW,2018,164469970.74924
FSBW,2019,244672095.65058
FSBW,2020,210190172.49477
FSBW,2021,273816115.732456
FSBW,2022,258698026.4
FSBW,2023,288308143.2
FULT,2016,3358153201.392576
FULT,2017,3202366878.007104
FULT,2018,2775891787.199808
FULT,2019,3132905368.785408
FULT,2020,2293537637.60352
FULT,2021,2719626918.0
FULT,2022,2820707999.9999995
FULT,2023,2696171225.06
FUNC,2016,103334148.5
FUNC,2017,113052093.5
FUNC,2018,103139789.6
FUNC,2019,156070196.7
FUNC,2020,100418765.0
FUNC,2021,124937420.85
FUNC,2022,130995310.2
FUNC,2023,156103766.88000005
FVCB,2016,
FVCB,2017,
FVCB,2018,253464252.0
FVCB,2019,251449204.00000003
FVCB,2020,211580040.0
FVCB,2021,285129292.0
FVCB,2022,274478324.0
FVCB,2023,255479300.0
GABC,2016,1314573746.8257
GABC,2017,1324193131.0
GABC,2018,1040839039.0
GABC,2019,1335062534.0
GABC,2020,1240236363.0000002
GABC,2021,1035055741.84
GABC,2022,1100096098.9
GABC,2023,958840418.69
GBCI,2016,4153960397.921
GBCI,2017,4593898819.195
GBCI,2018,4620722782.876
GBCI,2019,5402887864.605
GBCI,2020,5428956552.607
GBCI,2021,6265426961.765323
GBCI,2022,5474637887.6
GBCI,2023,4581931083.44
GNTY,2016,
GNTY,2017,316126916.2745
GNTY,2018,307566225.977
GNTY,2019,339127342.096
GNTY,2020,308907048.5125
GNTY,2021,426363890.0
GNTY,2022,393008120.0
GNTY,2023,381435710.0
GSBC,2016,607690064.5833
GSBC,2017,574331044.4017
GSBC,2018,511838489.4083
GSBC,2019,714139126.1483
GSBC,2020,560780310.0
GSBC,2021,777863210.25
GSBC,2022,727639442.1
GSBC,2023,700592920.5
HAFC,2016,1054402290.0
HAFC,2017,916937235.0
HAFC,2018,595178370.0
HAFC,2019,604090939.5
HAFC,2020,342605214.0
HAFC,2021,720043940.48
HAFC,2022,754519119.75
HAFC,2023,589151907.0
HBAN,2016,19259027988.48
HBAN,2017,21211153367.04
HBAN,2018,17365175009.28
HBAN,2019,21968694558.72
HBAN,2020,18399510097.92
HBAN,2021,22169984292.24
HBAN,2022,20347259307.6
HBAN,2023,18422629802.16
HBCP,2016,301210895.7
HBCP,2017,337175211.4
HBCP,2018,276168498.0
HBCP,2019,305735690.3
HBCP,2020,218360346.3
HBCP,2021,343946920.31
HBCP,2022,331691942.52
HBCP,2023,342729384.81
HBIA,2016,429015632.9
HBIA,2017,481539060.0
HBIA,2018,541731442.5
HBIA,2019,584089045.0
HBIA,2020,550965399.845
HBIA,2021,604153172.5
HBIA,2022,634472298.5
HBIA,2023,677721640.0
HBNC,2016,823150011.5747999
HBNC,2017,817270386.2738999
HBNC,2018,695855394.0
HBNC,2019,837848700.0
HBNC,2020,699383178.0
HBNC,2021,907974590.7
HBNC,2022,662583366.12
HBNC,2023,631159349.94
HBT,2016,
HBT,2017,
HBT,2018,
HBT,2019,598097646.0
HBT,2020,477155310.0
HBT,2021,589908842.0
HBT,2022,616364978.0
HBT,2023,664867894.0
HFWA,2016,869755937.1930001
HFWA,2017,1043642999.4705
HFWA,2018,1010103275.61
HFWA,2019,965185650.0
HFWA,2020,797727645.0
HFWA,2021,857985238.76
HFWA,2022,1075669196.08
HFWA,2023,746644323.87
HIFS,2016,422354357.78125
HIFS,2017,445001829.375
HIFS,2018,425818448.89375
HIFS,2019,453791876.4312501
HIFS,2020,469195309.89375
HIFS,2021,897436967.3568
HIFS,2022,592596504.0
HIFS,2023,420370560.0
