ticker,year,total_return,tier,data_source
BKU,2020,-0.009053222944542805,Tier 1,monthly_12m
BKU,2021,0.24386721225841956,Tier 1,monthly_12m
BKU,2022,-0.17688662281101697,Tier 1,monthly_12m
BKU,2023,-0.0032457019176821422,Tier 1,monthly_12m
HWC,2016,0.767496348966245,Tier 1,monthly_12m
HWC,2017,0.1720292435034938,Tier 1,monthly_12m
HWC,2018,-0.2848199886131766,Tier 1,monthly_12m
HWC,2019,0.3016478431199623,Tier 1,monthly_12m
HWC,2020,-0.19245943114794006,Tier 1,monthly_12m
HWC,2021,0.5054363563227993,Tier 1,monthly_12m
HWC,2022,-0.012172350376174035,Tier 1,monthly_12m
HWC,2023,0.03194650257308829,Tier 1,monthly_12m
BANC,2017,0.2207145191275912,Tier 1,monthly_12m
BANC,2018,-0.3365504071628511,Tier 1,monthly_12m
BANC,2019,0.3178500466937635,Tier 1,monthly_12m
BANC,2020,-0.12651220507887706,Tier 1,monthly_12m
BANC,2021,0.3508740043224474,Tier 1,monthly_12m
BANC,2022,-0.17668546018712672,Tier 1,monthly_12m
BANC,2023,-0.1311893296718808,Tier 1,monthly_12m
FULT,2016,0.48520048720648923,Tier 1,monthly_12m
FULT,2017,-0.023409499786114285,Tier 1,monthly_12m
FULT,2018,-0.10776926629515238,Tier 1,monthly_12m
FULT,2019,0.16496939531427213,Tier 1,monthly_12m
FULT,2020,-0.23215373514719284,Tier 1,monthly_12m
FULT,2021,0.3900459830739291,Tier 1,monthly_12m
FULT,2022,0.03132143424387368,Tier 1,monthly_12m
FULT,2023,0.0256226297907165,Tier 1,monthly_12m
CBSH,2016,0.45297192829653365,Tier 1,monthly_12m
CBSH,2017,0.03063597428031284,Tier 1,monthly_12m
CBSH,2018,0.07524853650343744,Tier 1,monthly_12m
CBSH,2019,0.287331075436422,Tier 1,monthly_12m
CBSH,2020,0.03307166365299907,Tier 1,monthly_12m
CBSH,2021,0.11436327455084871,Tier 1,monthly_12m
CBSH,2022,0.055634751338317745,Tier 1,monthly_12m
CBSH,2023,-0.15938644119870227,Tier 1,monthly_12m
TCBI,2016,0.5864022662198509,Tier 1,monthly_12m
TCBI,2017,0.1339285714253573,Tier 1,monthly_12m
TCBI,2018,-0.42530933637524937,Tier 1,monthly_12m
TCBI,2019,0.11117635545196114,Tier 1,monthly_12m
TCBI,2020,0.04808877900251751,Tier 1,monthly_12m
TCBI,2021,0.012605042002032718,Tier 1,monthly_12m
TCBI,2022,0.0009958505991523037,Tier 1,monthly_12m
TCBI,2023,0.07162991191965129,Tier 1,monthly_12m
UBSI,2016,0.2921443533807424,Tier 1,monthly_12m
UBSI,2017,-0.2212682820666051,Tier 1,monthly_12m
UBSI,2018,-0.07045079170020463,Tier 1,monthly_12m
UBSI,2019,0.2881595412772946,Tier 1,monthly_12m
UBSI,2020,-0.1146301513277701,Tier 1,monthly_12m
UBSI,2021,0.1635285080942861,Tier 1,monthly_12m
UBSI,2022,0.16044262839774648,Tier 1,monthly_12m
UBSI,2023,-0.03127790898376803,Tier 1,monthly_12m
GBCI,2016,0.3823866424108857,Tier 1,monthly_12m
GBCI,2017,0.10590818752690367,Tier 1,monthly_12m
GBCI,2018,0.005839045503916118,Tier 1,monthly_12m
GBCI,2019,0.16927332518228422,Tier 1,monthly_12m
GBCI,2020,0.0048249574767178505,Tier 1,monthly_12m
GBCI,2021,0.23604274340263487,Tier 1,monthly_12m
GBCI,2022,-0.10364443188179728,Tier 1,monthly_12m
UCB,2016,0.5413399791827935,Tier 1,monthly_12m
UCB,2017,-0.03674037280210041,Tier 1,monthly_12m
UCB,2018,-0.22161739558604943,Tier 1,monthly_12m
UCB,2019,0.4742306621272989,Tier 1,monthly_12m
UCB,2020,-0.04620697584135147,Tier 1,monthly_12m
UCB,2021,0.29413205006160026,Tier 1,monthly_12m
UCB,2022,-0.034663946777910626,Tier 1,monthly_12m
UCB,2023,-0.10469486762957092,Tier 1,monthly_12m
SFNC,2016,0.23334772319718167,Tier 1,monthly_12m
SFNC,2017,-0.06441508957927278,Tier 1,monthly_12m
SFNC,2018,-0.1374484010784366,Tier 1,monthly_12m
SFNC,2019,0.138899226865852,Tier 1,monthly_12m
SFNC,2020,-0.16236860607935033,Tier 1,monthly_12m
SFNC,2021,0.4033860923262327,Tier 1,monthly_12m
SFNC,2022,-0.24614561311611682,Tier 1,monthly_12m
SFNC,2023,-0.04007560481189343,Tier 1,monthly_12m
ABCB,2016,0.2827302148090609,Tier 1,monthly_12m
ABCB,2017,0.10550458712984323,Tier 1,monthly_12m
ABCB,2018,-0.33817779705901574,Tier 1,monthly_12m
ABCB,2019,0.3603614093755778,Tier 1,monthly_12m
ABCB,2020,-0.08397569058894827,Tier 1,monthly_12m
ABCB,2021,0.3201805441799994,Tier 1,monthly_12m
ABCB,2022,-0.038181726093623136,Tier 1,monthly_12m
ABCB,2023,0.14268068842769877,Tier 1,monthly_12m
EBC,2022,-0.1274318198495371,Tier 1,monthly_12m
EBC,2023,-0.15019785123774454,Tier 1,monthly_12m
AUB,2016,,Tier 3,excluded
AUB,2017,,Tier 3,excluded
AUB,2018,,Tier 3,excluded
AUB,2019,,Tier 3,excluded
AUB,2020,,Tier 3,excluded
AUB,2021,,Tier 3,excluded
AUB,2022,,Tier 3,excluded
AUB,2023,0.07140505584277723,Tier 1,monthly_12m
PFS,2016,0.45392838905291577,Tier 1,monthly_12m
PFS,2017,-0.012110592787272556,Tier 1,monthly_12m
PFS,2018,-0.07624736871958937,Tier 1,monthly_12m
PFS,2019,0.06739182393944354,Tier 1,monthly_12m
PFS,2020,-0.22470805886535283,Tier 1,monthly_12m
PFS,2021,0.40419035551977944,Tier 1,monthly_12m
PFS,2022,-0.08059811772845615,Tier 1,monthly_12m
FHB,2017,-0.1362235436896726,Tier 1,monthly_12m
FHB,2018,-0.2014389041770812,Tier 1,monthly_12m
FHB,2019,0.33276901578538354,Tier 1,monthly_12m
FHB,2020,-0.13793911926045188,Tier 1,monthly_12m
FHB,2021,0.20328937481980103,Tier 1,monthly_12m
FHB,2022,-0.009112994114533701,Tier 1,monthly_12m
FHB,2023,-0.07539139980784115,Tier 1,monthly_12m
BOH,2016,0.4477414836092022,Tier 1,monthly_12m
BOH,2017,-0.009330679017003352,Tier 1,monthly_12m
BOH,2018,-0.19196065405970186,Tier 1,monthly_12m
BOH,2019,0.45833283567520144,Tier 1,monthly_12m
