Index,Date,Instrument,Total Return
422,2/28/15,AMTB.N,NaN
423,3/31/15,AMTB.N,NaN
424,4/30/15,AMTB.N,NaN
425,5/31/15,AMTB.N,NaN
426,6/30/15,AMTB.N,NaN
427,7/31/15,AMTB.N,NaN
428,8/31/15,AMTB.N,NaN
429,9/30/15,AMTB.N,NaN
430,10/31/15,AMTB.N,NaN
431,11/30/15,AMTB.N,NaN
432,12/31/15,AMTB.N,NaN
433,1/31/16,AMTB.N,NaN
434,2/29/16,AMTB.N,NaN
435,3/31/16,AMTB.N,NaN
436,4/30/16,AMTB.N,NaN
437,5/31/16,AMTB.N,NaN
438,6/30/16,AMTB.N,NaN
439,7/31/16,AMTB.N,NaN
440,8/31/16,AMTB.N,NaN
441,9/30/16,AMTB.N,NaN
442,10/31/16,AMTB.N,NaN
443,11/30/16,AMTB.N,NaN
444,12/31/16,AMTB.N,NaN
445,1/31/17,AMTB.N,NaN
446,2/28/17,AMTB.N,NaN
447,3/31/17,AMTB.N,NaN
448,4/30/17,AMTB.N,NaN
449,5/31/17,AMTB.N,NaN
450,6/30/17,AMTB.N,NaN
451,7/31/17,AMTB.N,NaN
452,8/31/17,AMTB.N,NaN
453,9/30/17,AMTB.N,NaN
454,10/31/17,AMTB.N,NaN
455,11/30/17,AMTB.N,NaN
456,12/31/17,AMTB.N,NaN
457,1/31/18,AMTB.N,NaN
458,2/28/18,AMTB.N,NaN
459,3/31/18,AMTB.N,NaN
460,4/30/18,AMTB.N,NaN
461,5/31/18,AMTB.N,NaN
462,6/30/18,AMTB.N,NaN
463,7/31/18,AMTB.N,NaN
464,8/31/18,AMTB.N,NaN
465,9/30/18,AMTB.N,NaN
466,10/31/18,AMTB.N,NaN
467,11/30/18,AMTB.N,NaN
468,12/31/18,AMTB.N,NaN
469,1/31/19,AMTB.N,NaN
470,2/28/19,AMTB.N,NaN
471,3/31/19,AMTB.N,NaN
472,4/30/19,AMTB.N,NaN
473,5/31/19,AMTB.N,NaN
474,6/30/19,AMTB.N,NaN
475,7/31/19,AMTB.N,NaN
476,8/31/19,AMTB.N,NaN
477,9/30/19,AMTB.N,NaN
478,10/31/19,AMTB.N,NaN
479,11/30/19,AMTB.N,NaN
480,12/31/19,AMTB.N,NaN
481,1/31/20,AMTB.N,NaN
482,2/29/20,AMTB.N,NaN
483,3/31/20,AMTB.N,NaN
484,4/30/20,AMTB.N,NaN
485,5/31/20,AMTB.N,NaN
486,6/30/20,AMTB.N,NaN
487,7/31/20,AMTB.N,NaN
488,8/31/20,AMTB.N,NaN
489,9/30/20,AMTB.N,NaN
490,10/31/20,AMTB.N,NaN
491,11/30/20,AMTB.N,NaN
492,12/31/20,AMTB.N,NaN
493,1/31/21,AMTB.N,NaN
494,2/28/21,AMTB.N,NaN
495,3/31/21,AMTB.N,NaN
496,4/30/21,AMTB.N,NaN
497,5/31/21,AMTB.N,NaN
498,6/30/21,AMTB.N,NaN
499,7/31/21,AMTB.N,NaN
500,8/31/21,AMTB.N,NaN
501,9/30/21,AMTB.N,NaN
502,10/31/21,AMTB.N,NaN
503,11/30/21,AMTB.N,NaN
504,12/31/21,AMTB.N,NaN
505,1/31/22,AMTB.N,NaN
506,2/28/22,AMTB.N,NaN
507,3/31/22,AMTB.N,NaN
508,4/30/22,AMTB.N,NaN
509,5/31/22,AMTB.N,NaN
510,6/30/22,AMTB.N,NaN
511,7/31/22,AMTB.N,NaN
512,8/31/22,AMTB.N,NaN
513,9/30/22,AMTB.N,NaN
514,10/31/22,AMTB.N,NaN
515,11/30/22,AMTB.N,NaN
516,12/31/22,AMTB.N,NaN
517,1/31/23,AMTB.N,NaN
518,2/28/23,AMTB.N,NaN
519,3/31/23,AMTB.N,NaN
520,4/30/23,AMTB.N,NaN
521,5/31/23,AMTB.N,NaN
522,6/30/23,AMTB.N,NaN
523,7/31/23,AMTB.N,NaN
524,8/31/23,AMTB.N,-0.371549894
525,9/30/23,AMTB.N,-7.085775172
526,10/31/23,AMTB.N,4.529816514
527,11/30/23,AMTB.N,14.14094299
528,12/31/23,AMTB.N,18.63833896
529,1/31/13,AROW.OQ,-2.204408817
530,2/28/13,AROW.OQ,0.365481954
531,3/31/13,AROW.OQ,1.650165019
532,4/30/13,AROW.OQ,-1.826298701
533,5/31/13,AROW.OQ,2.838754347
534,6/30/13,AROW.OQ,0.487210718
535,7/31/13,AROW.OQ,6.424242424
536,8/31/13,AROW.OQ,-2.673723041
537,9/30/13,AROW.OQ,2.482095955
538,10/31/13,AROW.OQ,1.176009407
539,11/30/13,AROW.OQ,8.485083299
540,12/31/13,AROW.OQ,-4.263898959
541,1/31/14,AROW.OQ,-6.137048193
542,2/28/14,AROW.OQ,5.738370962
543,3/31/14,AROW.OQ,1.263883571
544,4/30/14,AROW.OQ,-5.332829044
545,5/31/14,AROW.OQ,4.388589556
546,6/30/14,AROW.OQ,0.231839259
547,7/31/14,AROW.OQ,-2.081727062
548,8/31/14,AROW.OQ,5.788883022
549,9/30/14,AROW.OQ,-3.939128132
550,10/31/14,AROW.OQ,9.254088551
551,11/30/14,AROW.OQ,-5.549470608
552,12/31/14,AROW.OQ,7.305501651
553,1/31/15,AROW.OQ,-6.984357948
554,2/28/15,AROW.OQ,5.396949727
555,3/31/15,AROW.OQ,1.68539326
556,4/30/15,AROW.OQ,-4.014732965
557,5/31/15,AROW.OQ,0.767459708
558,6/30/15,AROW.OQ,3.926538507
559,7/31/15,AROW.OQ,1.886792454
560,8/31/15,AROW.OQ,-0.036310821
561,9/30/15,AROW.OQ,-0.149259083
562,10/31/15,AROW.OQ,3.370786515
563,11/30/15,AROW.OQ,3.152173914
564,12/31/15,AROW.OQ,-3.729364981
565,1/31/16,AROW.OQ,1.288185498
566,2/29/16,AROW.OQ,-4.905523258
567,3/31/16,AROW.OQ,2.490640667
568,4/30/16,AROW.OQ,5.984192698
569,5/31/16,AROW.OQ,3.196022726
570,6/30/16,AROW.OQ,5.133353628
571,7/31/16,AROW.OQ,4.291845493
572,8/31/16,AROW.OQ,3.418803595
573,9/30/16,AROW.OQ,4.302568047
574,10/31/16,AROW.OQ,-3.746573253
575,11/30/16,AROW.OQ,20.56962029
576,12/31/16,AROW.OQ,7.001321003
577,1/31/17,AROW.OQ,-12.83950617
578,2/28/17,AROW.OQ,-0.438854729
579,3/31/17,AROW.OQ,-2.865329513
580,4/30/17,AROW.OQ,1.032448376
581,5/31/17,AROW.OQ,-6.861313835
582,6/30/17,AROW.OQ,-9.90E-10
583,7/31/17,AROW.OQ,3.001579778
584,8/31/17,AROW.OQ,-0.144973418
585,9/30/17,AROW.OQ,9.537127606
586,10/31/17,AROW.OQ,2.765647745
587,11/30/17,AROW.OQ,4.957507284
588,12/31/17,AROW.OQ,-7.744565218
589,1/31/18,AROW.OQ,-3.387334316
590,2/28/18,AROW.OQ,-0.914633929
591,3/31/18,AROW.OQ,5.27131783
592,4/30/18,AROW.OQ,4.270986746
593,5/31/18,AROW.OQ,6.355932404
594,6/30/18,AROW.OQ,-2.673796789
595,7/31/18,AROW.OQ,6.318681321
596,8/31/18,AROW.OQ,2.361823809
597,9/30/18,AROW.OQ,-3.151228423
598,10/31/18,AROW.OQ,-5.027027027
599,11/30/18,AROW.OQ,-0.32061622
600,12/31/18,AROW.OQ,-7.909117055
601,1/31/19,AROW.OQ,-0.530918176
602,2/28/19,AROW.OQ,12.02511727
603,3/31/19,AROW.OQ,-7.14285714
604,4/30/19,AROW.OQ,2.310732747
605,5/31/19,AROW.OQ,-4.398216937
606,6/30/19,AROW.OQ,8.823250089
607,7/31/19,AROW.OQ,-4.232651887
608,8/31/19,AROW.OQ,-3.307276008
609,9/30/19,AROW.OQ,7.813138901
610,10/31/19,AROW.OQ,5.181191976
611,11/30/19,AROW.OQ,2.107061504
612,12/31/19,AROW.OQ,6.184343011
613,1/31/20,AROW.OQ,-7.248677249
614,2/29/20,AROW.OQ,-9.669138621
615,3/31/20,AROW.OQ,-11.30915545
616,4/30/20,AROW.OQ,2.260495154
617,5/31/20,AROW.OQ,2.631578949
618,6/30/20,AROW.OQ,2.570232782
619,7/31/20,AROW.OQ,-8.173562058
620,8/31/20,AROW.OQ,4.945054945
621,9/30/20,AROW.OQ,-8.969332877
622,10/31/20,AROW.OQ,9.087285773
623,11/30/20,AROW.OQ,8.732188526
624,12/31/20,AROW.OQ,1.37506688
625,1/31/21,AROW.OQ,-1.705115346
626,2/28/21,AROW.OQ,8.367346939
627,3/31/21,AROW.OQ,5.399313965
628,4/30/21,AROW.OQ,6.124287001
629,5/31/21,AROW.OQ,4.950495048
630,6/30/21,AROW.OQ,-2.4188099
631,7/31/21,AROW.OQ,0.278164117
632,8/31/21,AROW.OQ,2.219140085
633,9/30/21,AROW.OQ,-3.285346487
634,10/31/21,AROW.OQ,4.33643772
635,11/30/21,AROW.OQ,-3.765690376
636,12/31/21,AROW.OQ,2.890902336
637,1/31/22,AROW.OQ,0.425773488
638,2/28/22,AROW.OQ,-2.148106299
639,3/31/22,AROW.OQ,-5.618631732
640,4/30/22,AROW.OQ,-3.454657619
641,5/31/22,AROW.OQ,6.709265151
642,6/30/22,AROW.OQ,-3.984304256
643,7/31/22,AROW.OQ,5.469977995
644,8/31/22,AROW.OQ,-3.487332362
645,9/30/22,AROW.OQ,-7.55343049
646,10/31/22,AROW.OQ,20.81887578
647,11/30/22,AROW.OQ,1.78058593
648,12/31/22,AROW.OQ,-3.611032129
649,1/31/23,AROW.OQ,-2.92035398
650,2/28/23,AROW.OQ,-7.38377393
651,3/31/23,AROW.OQ,-17.52729289
652,4/30/23,AROW.OQ,-13.32798073
653,5/31/23,AROW.OQ,-15.5164428
654,6/30/23,AROW.OQ,12.05471624
655,7/31/23,AROW.OQ,-0.099304868
656,8/31/23,AROW.OQ,-11.1332007
657,9/30/23,AROW.OQ,-0.450902082
658,10/31/23,AROW.OQ,25.20564042
