instrument,year,rit_rf,rit,new_wacc,unnamed:_5,"weighted_average_cost_of_capital,_(%)",beta_levered,beta_unlevered,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,esg_combined_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score_1,lnta,td/ta,price_to_book_value_per_share,capital_adequacy_total_(%),"wacc_tax_rate,_(%)","wacc_cost_of_debt,_(%)","wacc_debt_weight,_(%)","wacc_equity_weight,_(%)",total_assets,debt_total,d/e,dummylarge,dummymid,rf,ticker_prefix,date,Month,symbol,market_cap,equity_volatility,equity_vol_is_default,equity_vol,asset_value,asset_vol,solver_status,DDm,PDm
ASB,2019,0.025128639,0.046528639,1.602613937,,7.344833488,1.212277798,1.016668937,51.40386566,65.72278597,46.00551841,51.79833238,51.79833238,49.46342334,54.75894649,35.5374195,42.02091281,42.02091281,10.38549627,0.129542428,0.945066493,13.21,30.20409,2.246902417,20.36161662,73.86407441,32386.478,4195.423,0.275663329,0.0,0.0,0.021400000000000002,ASB,,,ASB,3654452400.0,0.2639394188551208,False,0.2639394188551208,7761047180.131108,0.12428144362111528,converged,5.059485510357534,2.101946100212594e-07
ASB,2020,-0.240059316,-0.235659316,1.458704485,,5.277634893,1.219278569,0.736506911,49.67131823,62.29109343,46.61129568,50.34298772,50.34298772,51.40386566,65.72278597,46.00551841,51.79833238,51.79833238,10.41690331,0.072846224,0.700445794,14.02,28.48654,2.196761976,43.66962993,47.64335788,33419.783,2434.505,0.916594293,0.0,0.0,0.0044,ASB,,,ASB,2827060500.0,0.4061003603466611,False,0.4061003603466611,5250837771.30379,0.21867446010370847,converged,3.425799834167738,0.00030649597261539935
ASB,2021,0.244409493,0.244809493,1.366752365,,1.922769597,1.134023776,0.998924739,51.67527036,72.07186715,43.24541309,54.76490108,54.76490108,49.67131823,62.29109343,46.61129568,50.34298772,50.34298772,10.46607757,0.063372179,0.880469596,13.1,22.48194681,1.50709914,14.14496048,81.07465475,35104.253,2224.633,0.174468341,0.0,0.0,0.0004,ASB,,,ASB,3373650260.19,0.2057484426677272,False,0.2057484426677272,5597393584.940691,0.1240083043375814,converged,7.381925549729079,7.800821708245134e-14
ASB,2022,0.049694395,0.063894395,3.81532284,,7.862610266,1.016004267,0.889902202,50.5324411,72.6085666,66.2694704,63.4980147,63.4980147,51.67527036,72.07186715,43.24541309,54.76490108,54.76490108,10.58166644,0.131297387,0.909031349,11.33,19.88698746,4.698168963,14.25072667,80.56755007,39405.727,5173.869,0.176879236,0.0,0.0,0.014199999999999999,ASB,,,ASB,3473752398.71,0.3370796088583103,False,0.3370796088583103,8574656495.439439,0.13656458683806957,converged,3.7349743259818844,9.386716933649489e-05
ASB,2023,-0.029892899,0.019607101,3.991673675,,6.725299121,1.021308211,0.782368264,42.74738517,87.9108311,68.07526008,70.3186843,70.3186843,50.5324411,72.6085666,66.2694704,63.4980147,63.4980147,10.62171398,0.068467255,0.811755601,12.21,19.61724684,4.949070387,26.11070038,68.72327702,41015.855,2808.243,0.379939687,0.0,0.0,0.0495,ASB,,,ASB,3230674456.86,0.462556337904254,False,0.462556337904254,5903052985.505207,0.2532954598683668,converged,3.0017567498745867,0.0013421328666399883
ATLO,2018,-0.163846779,-0.145746779,1.610707381,,5.941922712,0.626006246,0.54967526,21.58687943,28.33782733,17.88252276,20.49327055,20.49327055,22.15799615,28.29339618,22.36902311,22.08637282,22.08637282,7.283233474,0.0379714,1.36659084,16.1,27.88763,2.403082714,16.14736382,83.85263618,1455.687351,55.274486,0.19256835,,,0.0181,ATLO,,,ATLO,226633535.2,0.1923801560827518,False,0.1923801560827518,280916552.8596443,0.15520596277851276,converged,10.513782833625893,3.7319152956984e-26
ATLO,2019,0.005117159,0.026517159,1.192711468,,4.631537351,0.577518997,0.505421084,20.28455285,20.75660816,20.42767696,17.64924135,17.64924135,21.58687943,28.33782733,17.88252276,20.49327055,20.49327055,7.46001983,0.027074628,1.379630074,14.3,27.88763,1.62326315,16.51466482,83.48533518,1737.182505,47.03357,0.197815159,,,0.021400000000000002,ATLO,,,ATLO,250170613.6,0.1760142823776669,False,0.1760142823776669,296208358.53392094,0.14865783064612398,converged,12.44839868333263,7.133954435977385e-36
ATLO,2021,0.124208575,0.124608575,0.8943287,,1.438478915,0.716913121,0.630735118,17.43215031,18.39276359,24.56155549,17.96497072,17.96497072,20.28455285,20.75660816,20.42767696,17.64924135,17.64924135,7.667177441,0.020051557,1.071659029,14.8,20.57005,0.992080076,14.67682555,85.32317445,2137.041,42.851,0.172014528,,,0.0004,ATLO,,,ATLO,222667169.83,0.1558160165871657,False,0.1558160165871657,265501032.85762298,0.13067787752845994,converged,13.894864451581146,3.4026109402865113e-44
ATLO,2022,0.028534044,0.042734044,3.694093948,,5.996126898,0.528090272,0.453858036,15.8938172,17.13352444,23.06238361,16.80068622,16.80068622,17.43215031,18.39276359,24.56155549,17.96497072,17.96497072,7.666187265,0.037376471,1.423929649,14.1,20.57005,4.606142801,17.07542353,82.92457647,2134.926,79.796,0.205915113,,,0.014199999999999999,ATLO,,,ATLO,212305062.87,0.1044412650534659,False,0.1044412650534659,290975966.75769883,0.07620399543495641,converged,17.125923194762187,4.754448710369306e-66
ATLO,2023,-0.025727273,0.023772727,3.584683608,,5.484925721,0.575283642,0.434347974,14.03688525,16.48253531,28.7092158,18.5106552,18.5106552,15.8938172,17.13352444,23.06238361,16.80068622,16.80068622,7.675769179,0.076355115,1.157459188,14.0,20.57005,4.491763673,29.00280569,70.99719431,2155.481,164.582,0.408506364,,,0.0495,ATLO,,,ATLO,191892843.78,0.3006420859970244,False,0.3006420859970244,348526377.1052367,0.1655286207743571,converged,4.749058638896408,1.0218284254542752e-06
