instrument,year,covid,rit_rf,rit,new_wacc,"weighted_average_cost_of_capital,_(%)",beta_levered,beta_unlevered,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,esg_combined_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score_1,lnta,td/ta,price_to_book_value_per_share,capital_adequacy_total_(%),"wacc_tax_rate,_(%)","wacc_cost_of_debt,_(%)","wacc_debt_weight,_(%)","wacc_equity_weight,_(%)",total_assets,debt_total,d/e,dummylarge,dummymid,DD_a,PD_a,DD_m,PD_m
GNTY,2021,1.0,0.052930761,0.053330761,1.598136645,1.542963928,0.485546618,0.456217785,19.0205481,38.52916746,35.7156608,32.19683423,32.19683423,20.85479836,41.97970055,28.75364945,31.4406137,31.4406137,8.034653716,0.028016539,1.507447388,14.51,18.27744,1.895064456,7.292796414,92.70720359,3086.07,86.461,0.07866483,0.0,0.0,,,,
GNTY,2022,1.0,-0.013871554,0.000328446,3.68575314,5.699571735,0.439477161,0.393523704,23.31785617,34.49538001,37.91899441,31.84894343,31.84894343,19.0205481,38.52916746,35.7156608,32.19683423,32.19683423,8.117161794,0.103349102,1.402311712,14.37,18.02414,4.49579382,12.46878828,87.53121172,3351.495,346.374,0.142449625,0.0,0.0,,,,
CBAN,2018,0.0,-0.201780805,-0.183680805,2.234837367,6.265685395,0.640702571,0.576663133,21.58687943,27.08905285,6.521208083,15.78380512,15.78380512,22.15799615,28.90675839,3.53809197,15.61146527,15.61146527,7.132400477,0.054501297,1.28845826,15.86,31.14839,3.475600355,13.88896911,86.11103089,1251.878468,68.229,0.161291404,0.0,0.0,20.630810050800548,7.259872153883371e-95,12.540872936486064,2.2302737863088417e-36
CBAN,2019,0.0,-0.012680421,0.008719579,1.565909577,5.107440876,0.639566792,0.573564435,20.28455285,32.18150305,41.1620503,30.78036362,30.78036362,21.58687943,27.08905285,6.521208083,15.78380512,15.78380512,7.323377297,0.056616686,1.200940336,13.17,30.75027,2.250452796,14.2493925,85.7506075,1515.313,85.792,0.166172496,0.0,0.0,14.317284403162702,8.533133877955071e-47,9.372172325940838,3.55273945887934e-21
CBAN,2020,1.0,-0.109001369,-0.104601369,0.900807005,2.579762253,0.62438565,0.28771724,18.99807322,24.8597114,54.30081546,31.87871042,31.87871042,20.28455285,32.18150305,41.1620503,30.78036362,30.78036362,7.475324497,0.094718516,0.963105386,13.78,30.75027,1.35696719,62.82160536,37.17839464,1763.974,167.081,1.689734212,0.0,0.0,14.322502303516712,7.915920630931565e-47,9.017297480875532,9.639318021699068e-20
CBAN,2021,1.0,0.091844677,0.092244677,1.895587538,1.611376924,0.533705108,0.478134691,17.43215031,25.79477719,45.32967562,29.11289271,29.11289271,18.99807322,24.8597114,54.30081546,31.87871042,31.87871042,7.897933816,0.032859348,1.07214485,12.05,20.11219,2.272009316,12.70059763,87.29940237,2691.715,88.448,0.145483214,0.0,0.0,14.070637633983612,2.8774084700727474e-45,7.26937364253232,1.8057908347955477e-13
CBAN,2022,1.0,-0.002079417,0.012120583,3.567665717,5.951007912,0.54790811,0.448317202,21.53291673,28.39948292,46.4699873,31.64670463,31.64670463,17.43215031,25.79477719,45.32967562,29.11289271,29.11289271,7.984997513,0.069248136,0.969827249,15.11,19.41349,4.415334883,21.60913561,78.39086439,2936.57,203.352,0.275658851,0.0,0.0,12.152403923413765,2.7851637923468534e-34,6.068851674085737,6.441402835946532e-10
PCB,2019,0.0,-0.001245689,0.020154311,0.020154311,6.127235231,0.734676705,0.734676705,22.06022092,41.75909103,64.6864056,44.25531137,44.25531137,23.52538211,38.71141732,64.55141017,42.71851504,42.71851504,7.465270577,0.011452602,1.196545652,16.9,42.5595,0.0,0.0,100.0,1746.328,20.0,0.0,0.0,0.0,21.626473591195953,5.0616178052580225e-104,12.89333731048357,2.4536659988248127e-38
PCB,2020,1.0,-0.189649017,-0.185249017,-0.185249017,5.440678614,0.75779242,0.75779242,20.85479836,36.56482082,77.7277761,46.38551894,46.38551894,22.06022092,41.75909103,64.6864056,44.25531137,44.25531137,7.5615653,0.041604844,0.665351629,17.22,36.30925,0.0,0.0,100.0,1922.853,80.0,0.0,0.0,0.0,16.910321990917712,1.888195005117449e-64,9.372764995318338,3.532840911843066e-21
PCB,2021,1.0,0.163465022,0.163865022,0.163865022,1.515266,0.822687846,0.822687846,19.0205481,41.5192678,78.47434787,49.07305134,49.07305134,20.85479836,36.56482082,77.7277761,46.38551894,46.38551894,7.673099858,0.004651736,1.273785993,16.04,30.059,0.0,0.0,100.0,2149.735,10.0,0.0,0.0,0.0,17.690654957256243,2.4748378134086898e-70,11.631510916986,1.4250384581773143e-31
