instrument,year,covid,rit_rf,rit,new_wacc,"weighted_average_cost_of_capital,_(%)",beta_levered,beta_unlevered,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,esg_combined_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score_1,lnta,td/ta,price_to_book_value_per_share,capital_adequacy_total_(%),"wacc_tax_rate,_(%)","wacc_cost_of_debt,_(%)","wacc_debt_weight,_(%)","wacc_equity_weight,_(%)",total_assets,debt_total,d/e,dummylarge,dummymid,DD_a,PD_a,DD_m,PD_m,status,size_dummy,covid_dummy,DD_a_wins,DD_m_wins,DD_a_wins_5_95,DD_m_wins_5_95
ATLO,2023,1.0,-0.025727273,0.023772727,3.584683608,5.484925721,0.575283642,0.434347974,14.03688525,16.48253531,28.7092158,18.5106552,18.5106552,15.8938172,17.13352444,23.06238361,16.80068622,16.80068622,7.675769179,0.076355115,1.157459188,14.0,20.57005,4.491763673,29.00280569,70.99719431,2155.481,164.582,0.408506364,0.0,0.0,,,25.07559296611388,4.591602156624681e-139,extreme_DD_a_y2023_small,0,1,,25.07559296611388,,25.07559296611388
OVLY,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debt_too_low,0,0,,,,
OVLY,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debt_too_low,0,0,,,,
OVLY,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debt_too_low,0,0,,,,
OVLY,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debt_too_low,0,0,,,,
OVLY,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debt_too_low,0,0,,,,
ESQ,2018,0.0,-0.232458675,-0.214358675,2.383874546,6.17584994,0.555350751,0.554768267,21.58687943,17.72419486,26.13368865,18.19932857,18.19932857,22.15799615,20.82616554,28.96591169,20.75750632,20.75750632,6.498130029,0.000134057,1.761917014,18.7,28.26105,3.621352066,0.146144436,99.85385556,663.899,0.089,0.001463583,0.0,0.0,,,,,debt_too_low,0,0,,,,
ESQ,2019,0.0,0.033921859,0.055321859,2.148203698,5.541813899,0.632755292,0.632522855,20.28455285,17.10842144,38.63525417,22.39446854,22.39446854,21.58687943,17.72419486,26.13368865,18.19932857,18.19932857,6.682118622,0.000107768,1.796222577,17.83,20.99961,2.649236998,0.046494125,99.95350588,798.008,0.086,0.000465158,0.0,0.0,,,,,debt_too_low,0,0,,,,
ESQ,2020,1.0,-0.19045874,-0.18605874,1.614907283,8.304130132,1.239177377,1.238537286,18.99807322,33.94697599,35.42837008,29.59191332,29.59191332,20.28455285,17.10842144,38.63525417,22.39446854,22.39446854,6.842378006,5.23e-05,1.186244167,16.69,29.28129755,2.546469447,0.073026587,99.92697341,936.714,0.049,0.0007308,0.0,0.0,,,,,debt_too_low,0,1,,,,
ESQ,2021,1.0,0.210243753,0.210643753,0.210643753,1.515266,1.061059112,1.061059112,17.43215031,26.64837003,41.395707,28.12004605,28.12004605,18.99807322,33.94697599,35.42837008,29.59191332,29.59191332,7.072226801,4.07e-05,1.772697318,15.89,24.11263383,0.0,0.0,100.0,1178.77,0.048,0.0,0.0,0.0,,,,,debt_too_low,0,1,,,,
ESQ,2022,1.0,0.039727963,0.053927963,0.053927963,7.811595723,0.857564782,0.857564782,15.8938172,22.15740125,52.90316574,30.05454603,30.05454603,17.43215031,26.64837003,41.395707,28.12004605,28.12004605,7.241107654,3.3e-05,2.241619808,15.44,23.31714016,0.0,0.0,100.0,1395.639,0.046,0.0,0.0,0.0,,,,,debt_too_low,0,1,,,,
ESQ,2023,1.0,-0.006925392,0.042574608,0.042574608,6.642349619,0.788876335,0.788876335,14.03688525,17.6699031,47.906888,26.01075162,26.01075162,15.8938172,22.15740125,52.90316574,30.05454603,30.05454603,7.388251171,2.72e-05,2.085371238,15.38,26.49851,0.0,0.0,100.0,1616.876,0.044,0.0,0.0,0.0,,,,,debt_too_low,0,1,,,,
NKSH,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debt_too_low,0,0,,,,
NKSH,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debt_too_low,0,0,,,,
NKSH,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debt_too_low,0,0,,,,
NKSH,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debt_too_low,0,0,,,,
LARK,2022,1.0,-0.04059271,-0.02639271,4.014438815,5.304381259,0.343736113,0.275805793,15.8938172,19.08752502,36.79981378,22.71534537,22.71534537,17.43215031,18.68318719,37.5897584,22.79917387,22.79917387,7.315129896,0.045415196,1.058714096,13.44,17.57629048,4.895144108,23.00697444,76.99302556,1502.867,68.253,0.298818942,0.0,0.0,,,28.95554014977337,1.1949629259128408e-184,extreme_DD_a_y2022_small,0,1,,28.95554014977337,,28.95554014977337
OVBC,2020,1.0,-0.115542162,-0.111142162,1.893682399,2.293350198,0.224297051,0.204756673,18.99807322,20.84609961,21.11245344,17.94014865,17.94014865,20.28455285,8.683408674,21.10049878,11.90315026,11.90315026,7.079127106,0.030636127,0.819434927,11.7,21.71946,2.545648622,10.86632939,89.13367061,1186.932,36.363,0.121910489,0.0,0.0,,,35.0,1.1249107064724061e-268,extreme_DD_a_y2020_small,0,1,,35.0,,35.0
OVBC,2021,1.0,0.051271286,0.051671286,1.853259725,1.565335787,0.24602642,0.230041964,17.43215031,19.67315284,18.14900375,16.29152516,16.29152516,18.99807322,20.84609961,21.11245344,17.94014865,17.94014865,7.130714013,0.022495357,0.985762268,10.3,16.64094,2.166008303,7.694257225,92.30574277,1249.769,28.114,0.083356214,0.0,0.0,,,30.724054226039044,1.3584158895293426e-207,extreme_DD_a_y2021_small,0,1,,30.724054226039044,,30.724054226039044
OPOF,2020,1.0,-0.322250837,-0.317850837,0.868532553,4.726018887,0.982673578,0.63667051,20.85479836,22.48790457,59.9889258,33.01738238,33.01738238,22.06022092,26.00492846,63.56255969,36.03666221,36.03666221,7.111667896,0.029782473,0.845511121,12.77,4.70546,1.123829007,36.31757227,63.68242773,1226.191,36.519,0.570291893,0.0,0.0,,,35.0,1.1249107064724061e-268,extreme_DD_a_y2020_small,0,1,,35.0,,35.0
BFIN,2019,0.0,-0.068996957,-0.047596957,1.35760164,4.026592005,0.370800793,0.368805325,21.29806636,25.97546007,10.67069935,16.87122591,16.87122591,22.59698044,31.13359775,24.58916278,24.43981763,24.43981763,7.305198296,4.1e-05,1.146068802,16.38,20.99961,1.778313789,0.680227158,99.31977284,1488.015,0.061,0.006848859,0.0,0.0,,,,,debt_too_low,0,0,,,,
AUBN,2019,0.0,0.032419029,0.053819029,1.24622842,4.538365364,0.460326919,0.458408985,20.28455285,30.47859125,63.45113021,37.95978814,37.95978814,21.58687943,20.74963797,76.49122807,37.82866254,37.82866254,6.718867008,0.001291251,1.922196506,18.12,27.20876,1.638544643,0.571494702,99.4285053,827.879,1.069,0.005747795,0.0,0.0,,,,,extreme_DD_a_y2019_small,0,0,,,,
AUBN,2022,1.0,-0.0276647,-0.0134647,3.73841582,6.519271931,0.592065946,0.577050447,17.26625006,36.72224572,49.43761639,36.22874146,36.22874146,17.43215031,41.7541321,61.44287227,42.82948354,42.82948354,6.931362425,0.002491483,1.184277068,16.25,19.56899,4.66419427,3.133824088,96.86617591,1023.888,2.551,0.032352099,0.0,0.0,,,35.0,1.1249107064724061e-268,extreme_DD_a_y2022_small,0,1,,35.0,,35.0
